Text,Label
Create holes in the given picture.,holes
Simulate holes on this textile image.,holes
Introduce holes in the textile fabric.,holes
Generate synthetic defects of holes on this image.,holes
Create a dataset sample with holes in this image.,holes
Simulate holes on this textile image.,holes
Make this picture holes defected.,holes
Add holes imperfections to this textile.,holes
Add holes imperfections to this textile.,holes
Apply holes effect to the fabric image.,holes
Modify this fabric to include holes.,holes
Make this picture holes defected.,holes
Generate synthetic defects of holes on this image.,holes
Simulate holes on this textile image.,holes
Simulate holes on this textile image.,holes
Add holes imperfections to this textile.,holes
"This is the picture of fabric, create holes in this picture.",holes
Simulate holes on this textile image.,holes
Generate synthetic defects of holes on this image.,holes
Apply holes effect to the fabric image.,holes
Make this picture holes defected.,holes
Add holes imperfections to this textile.,holes
Introduce holes in the textile fabric.,holes
Add holes imperfections to this textile.,holes
Create holes in the given picture.,holes
Simulate holes on this textile image.,holes
Introduce holes in the textile fabric.,holes
Introduce holes in the textile fabric.,holes
Simulate holes on this textile image.,holes
Make this picture holes defected.,holes
Generate synthetic defects of holes on this image.,holes
Create holes in the given picture.,holes
Apply holes effect to the fabric image.,holes
Make this picture holes defected.,holes
Simulate holes on this textile image.,holes
Create holes in the given picture.,holes
Add holes imperfections to this textile.,holes
Introduce holes in the textile fabric.,holes
Generate synthetic defects of holes on this image.,holes
Add holes imperfections to this textile.,holes
Make this picture holes defected.,holes
Generate synthetic defects of holes on this image.,holes
Create holes in the given picture.,holes
Apply holes effect to the fabric image.,holes
Create holes in the given picture.,holes
"This is the picture of fabric, create holes in this picture.",holes
Make this picture holes defected.,holes
Create a dataset sample with holes in this image.,holes
Add holes imperfections to this textile.,holes
Generate synthetic defects of holes on this image.,holes
"This is the picture of fabric, create holes in this picture.",holes
Generate synthetic defects of holes on this image.,holes
"This is the picture of fabric, create holes in this picture.",holes
Generate synthetic defects of holes on this image.,holes
Introduce holes in the textile fabric.,holes
Create a dataset sample with holes in this image.,holes
Make this picture holes defected.,holes
Introduce holes in the textile fabric.,holes
Modify this fabric to include holes.,holes
"This is the picture of fabric, create holes in this picture.",holes
Add holes imperfections to this textile.,holes
Simulate holes on this textile image.,holes
Generate synthetic defects of holes on this image.,holes
Apply holes effect to the fabric image.,holes
Apply holes effect to the fabric image.,holes
Make this picture holes defected.,holes
Create a dataset sample with holes in this image.,holes
Apply holes effect to the fabric image.,holes
"This is the picture of fabric, create holes in this picture.",holes
Create a dataset sample with holes in this image.,holes
Simulate holes on this textile image.,holes
Add holes imperfections to this textile.,holes
Create a dataset sample with holes in this image.,holes
"This is the picture of fabric, create holes in this picture.",holes
Modify this fabric to include holes.,holes
Make this picture holes defected.,holes
Modify this fabric to include holes.,holes
Generate synthetic defects of holes on this image.,holes
Generate synthetic defects of holes on this image.,holes
Generate synthetic defects of holes on this image.,holes
"This is the picture of fabric, create holes in this picture.",holes
Add holes imperfections to this textile.,holes
Create a dataset sample with holes in this image.,holes
"This is the picture of fabric, create holes in this picture.",holes
Simulate holes on this textile image.,holes
Generate synthetic defects of holes on this image.,holes
Create a dataset sample with holes in this image.,holes
Apply holes effect to the fabric image.,holes
Apply holes effect to the fabric image.,holes
Apply holes effect to the fabric image.,holes
Create holes in the given picture.,holes
Modify this fabric to include holes.,holes
Add holes imperfections to this textile.,holes
Create holes in the given picture.,holes
Generate synthetic defects of holes on this image.,holes
Make this picture holes defected.,holes
Simulate holes on this textile image.,holes
Add holes imperfections to this textile.,holes
Create a dataset sample with holes in this image.,holes
Create holes in the given picture.,holes
Create a dataset sample with thread_error in this image.,thread_error
Create a dataset sample with thread_error in this image.,thread_error
Generate synthetic defects of thread_error on this image.,thread_error
Simulate thread_error on this textile image.,thread_error
Modify this fabric to include thread_error.,thread_error
Add thread_error imperfections to this textile.,thread_error
Introduce thread_error in the textile fabric.,thread_error
"This is the picture of fabric, create thread_error in this picture.",thread_error
Make this picture thread_error defected.,thread_error
Generate synthetic defects of thread_error on this image.,thread_error
Introduce thread_error in the textile fabric.,thread_error
Apply thread_error effect to the fabric image.,thread_error
Apply thread_error effect to the fabric image.,thread_error
"This is the picture of fabric, create thread_error in this picture.",thread_error
"This is the picture of fabric, create thread_error in this picture.",thread_error
Generate synthetic defects of thread_error on this image.,thread_error
Make this picture thread_error defected.,thread_error
"This is the picture of fabric, create thread_error in this picture.",thread_error
Create thread_error in the given picture.,thread_error
Modify this fabric to include thread_error.,thread_error
Make this picture thread_error defected.,thread_error
Modify this fabric to include thread_error.,thread_error
Make this picture thread_error defected.,thread_error
Create thread_error in the given picture.,thread_error
Apply thread_error effect to the fabric image.,thread_error
Add thread_error imperfections to this textile.,thread_error
Generate synthetic defects of thread_error on this image.,thread_error
Simulate thread_error on this textile image.,thread_error
Introduce thread_error in the textile fabric.,thread_error
Create thread_error in the given picture.,thread_error
Make this picture thread_error defected.,thread_error
Add thread_error imperfections to this textile.,thread_error
"This is the picture of fabric, create thread_error in this picture.",thread_error
Simulate thread_error on this textile image.,thread_error
Create thread_error in the given picture.,thread_error
Create thread_error in the given picture.,thread_error
Make this picture thread_error defected.,thread_error
Introduce thread_error in the textile fabric.,thread_error
Add thread_error imperfections to this textile.,thread_error
Apply thread_error effect to the fabric image.,thread_error
"This is the picture of fabric, create thread_error in this picture.",thread_error
"This is the picture of fabric, create thread_error in this picture.",thread_error
Apply thread_error effect to the fabric image.,thread_error
Create a dataset sample with thread_error in this image.,thread_error
Apply thread_error effect to the fabric image.,thread_error
Add thread_error imperfections to this textile.,thread_error
Create a dataset sample with thread_error in this image.,thread_error
Add thread_error imperfections to this textile.,thread_error
Generate synthetic defects of thread_error on this image.,thread_error
Add thread_error imperfections to this textile.,thread_error
Make this picture thread_error defected.,thread_error
Simulate thread_error on this textile image.,thread_error
Simulate thread_error on this textile image.,thread_error
Create thread_error in the given picture.,thread_error
Modify this fabric to include thread_error.,thread_error
Add thread_error imperfections to this textile.,thread_error
Make this picture thread_error defected.,thread_error
Modify this fabric to include thread_error.,thread_error
Generate synthetic defects of thread_error on this image.,thread_error
Create a dataset sample with thread_error in this image.,thread_error
Generate synthetic defects of thread_error on this image.,thread_error
"This is the picture of fabric, create thread_error in this picture.",thread_error
Make this picture thread_error defected.,thread_error
Introduce thread_error in the textile fabric.,thread_error
Make this picture thread_error defected.,thread_error
Apply thread_error effect to the fabric image.,thread_error
Add thread_error imperfections to this textile.,thread_error
Make this picture thread_error defected.,thread_error
Introduce thread_error in the textile fabric.,thread_error
Create thread_error in the given picture.,thread_error
Simulate thread_error on this textile image.,thread_error
Introduce thread_error in the textile fabric.,thread_error
Modify this fabric to include thread_error.,thread_error
Create a dataset sample with thread_error in this image.,thread_error
Create a dataset sample with thread_error in this image.,thread_error
Create a dataset sample with thread_error in this image.,thread_error
"This is the picture of fabric, create thread_error in this picture.",thread_error
Add thread_error imperfections to this textile.,thread_error
Introduce thread_error in the textile fabric.,thread_error
Add thread_error imperfections to this textile.,thread_error
Create thread_error in the given picture.,thread_error
Create thread_error in the given picture.,thread_error
Add thread_error imperfections to this textile.,thread_error
Simulate thread_error on this textile image.,thread_error
Create thread_error in the given picture.,thread_error
Create thread_error in the given picture.,thread_error
"This is the picture of fabric, create thread_error in this picture.",thread_error
Apply thread_error effect to the fabric image.,thread_error
Modify this fabric to include thread_error.,thread_error
Make this picture thread_error defected.,thread_error
"This is the picture of fabric, create thread_error in this picture.",thread_error
Make this picture thread_error defected.,thread_error
Apply thread_error effect to the fabric image.,thread_error
Add thread_error imperfections to this textile.,thread_error
Make this picture thread_error defected.,thread_error
Apply thread_error effect to the fabric image.,thread_error
Generate synthetic defects of thread_error on this image.,thread_error
Modify this fabric to include thread_error.,thread_error
Create thread_error in the given picture.,thread_error
Modify this fabric to include thread_error.,thread_error
Add stain imperfections to this textile.,stain
Create a dataset sample with stain in this image.,stain
Add stain imperfections to this textile.,stain
Apply stain effect to the fabric image.,stain
Make this picture stain defected.,stain
Create stain in the given picture.,stain
Create a dataset sample with stain in this image.,stain
Create a dataset sample with stain in this image.,stain
Apply stain effect to the fabric image.,stain
Apply stain effect to the fabric image.,stain
Introduce stain in the textile fabric.,stain
Simulate stain on this textile image.,stain
Apply stain effect to the fabric image.,stain
Add stain imperfections to this textile.,stain
Apply stain effect to the fabric image.,stain
Create stain in the given picture.,stain
Introduce stain in the textile fabric.,stain
Simulate stain on this textile image.,stain
Simulate stain on this textile image.,stain
Make this picture stain defected.,stain
Introduce stain in the textile fabric.,stain
Modify this fabric to include stain.,stain
Create a dataset sample with stain in this image.,stain
Generate synthetic defects of stain on this image.,stain
Add stain imperfections to this textile.,stain
Apply stain effect to the fabric image.,stain
Modify this fabric to include stain.,stain
Introduce stain in the textile fabric.,stain
Create stain in the given picture.,stain
Apply stain effect to the fabric image.,stain
Simulate stain on this textile image.,stain
Create a dataset sample with stain in this image.,stain
Apply stain effect to the fabric image.,stain
Modify this fabric to include stain.,stain
Create stain in the given picture.,stain
Apply stain effect to the fabric image.,stain
Introduce stain in the textile fabric.,stain
Apply stain effect to the fabric image.,stain
Make this picture stain defected.,stain
Create a dataset sample with stain in this image.,stain
Simulate stain on this textile image.,stain
Generate synthetic defects of stain on this image.,stain
Create stain in the given picture.,stain
"This is the picture of fabric, create stain in this picture.",stain
Apply stain effect to the fabric image.,stain
Apply stain effect to the fabric image.,stain
Create a dataset sample with stain in this image.,stain
Create a dataset sample with stain in this image.,stain
Create stain in the given picture.,stain
Modify this fabric to include stain.,stain
Introduce stain in the textile fabric.,stain
Apply stain effect to the fabric image.,stain
Apply stain effect to the fabric image.,stain
"This is the picture of fabric, create stain in this picture.",stain
"This is the picture of fabric, create stain in this picture.",stain
Make this picture stain defected.,stain
Create stain in the given picture.,stain
Introduce stain in the textile fabric.,stain
Simulate stain on this textile image.,stain
Make this picture stain defected.,stain
Create a dataset sample with stain in this image.,stain
Introduce stain in the textile fabric.,stain
Simulate stain on this textile image.,stain
"This is the picture of fabric, create stain in this picture.",stain
Modify this fabric to include stain.,stain
Simulate stain on this textile image.,stain
Introduce stain in the textile fabric.,stain
Apply stain effect to the fabric image.,stain
Create a dataset sample with stain in this image.,stain
Create stain in the given picture.,stain
Create a dataset sample with stain in this image.,stain
Introduce stain in the textile fabric.,stain
Apply stain effect to the fabric image.,stain
Modify this fabric to include stain.,stain
Generate synthetic defects of stain on this image.,stain
"This is the picture of fabric, create stain in this picture.",stain
Add stain imperfections to this textile.,stain
Create stain in the given picture.,stain
Add stain imperfections to this textile.,stain
"This is the picture of fabric, create stain in this picture.",stain
Add stain imperfections to this textile.,stain
Create a dataset sample with stain in this image.,stain
Simulate stain on this textile image.,stain
Add stain imperfections to this textile.,stain
Modify this fabric to include stain.,stain
Generate synthetic defects of stain on this image.,stain
Create stain in the given picture.,stain
Create stain in the given picture.,stain
Create stain in the given picture.,stain
Modify this fabric to include stain.,stain
Make this picture stain defected.,stain
Generate synthetic defects of stain on this image.,stain
Create stain in the given picture.,stain
Make this picture stain defected.,stain
Modify this fabric to include stain.,stain
Introduce stain in the textile fabric.,stain
Modify this fabric to include stain.,stain
Generate synthetic defects of stain on this image.,stain
Make this picture stain defected.,stain
"This is the picture of fabric, create stain in this picture.",stain
Add knot imperfections to this textile.,knot
Simulate knot on this textile image.,knot
Introduce knot in the textile fabric.,knot
Simulate knot on this textile image.,knot
"This is the picture of fabric, create knot in this picture.",knot
Make this picture knot defected.,knot
Modify this fabric to include knot.,knot
Create a dataset sample with knot in this image.,knot
Simulate knot on this textile image.,knot
